Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
592b3cad-861c-42fa-b36d-7bad98f86e69,1994-05-22,,999-75-6843,S99960163,X24021302X,Ms.,Lucinda,Bayer,,,,white,irish,F,Melrose  Massachusetts  US,338 Lebsack Glen Apt 94,Ware,Massachusetts,01082
b6ef13e6-b7d8-4c1f-8bca-4dec813ae5f0,1998-04-14,,999-28-1698,S99990095,X1436582X,Ms.,Maisie,McCullough,,,,white,french_canadian,F,Worcester  Massachusetts  US,118 Marks Port,Lynn,Massachusetts,01901
bcf5e5fa-9518-47ab-a530-88cc1f282229,1990-08-13,,999-60-2463,S99916176,X57174560X,Mrs.,Carla,Badillo,,Ontiveros,M,hispanic,mexican,F,Mexico City  Mexico City  MX,952 Farrell Boulevard,Peabody,Massachusetts,01940
9b59634d-492a-4d70-a6ec-a19fc1ddc8a4,1979-02-14,,999-56-1714,S99954952,X26053750X,Mr.,Corey,Hoeger,,,M,white,english,M,East Bridgewater  Massachusetts  US,1080 Klein Highlands Unit 75,Newton,Massachusetts,02458
d0d6efb6-4bc8-4b7c-943a-00f96d6f47ce,1979-02-18,,999-95-4871,S99995591,X718276X,Mr.,Gilbert,Medhurst,,,M,white,american,M,West Tisbury  Massachusetts  US,696 Schmeler Stravenue Apt 45,Leominster,Massachusetts,01420
597bfc49-3013-4e7d-9dab-eb3e50b4ab14,1970-07-21,,999-19-5833,S99996196,X73907007X,Mr.,Monte,Macejkovic,,,S,black,dominican,M,Brookline  Massachusetts  US,995 Heller Rest Apt 27,Springfield,Massachusetts,01013
33e5a0b6-e73c-4213-bf05-14a17f0f4c9f,2011-08-04,,999-79-5029,,,,Analisa,Morissette,,,,white,irish,F,Templeton  Massachusetts  US,949 Turner Lane,Middleborough,Massachusetts,02346
ed3e3fec-5dbe-4fec-af30-173e9d9d03a5,1986-01-11,,999-58-6994,S99952390,X4942798X,Mr.,Jerald,Waters,,,S,white,swedish,M,Swansea  Massachusetts  US,413 Boyle Station Suite 26,Chelmsford,Massachusetts,01824
b0316562-a265-46f6-ab08-00b3f8e7d4fd,1988-08-16,,999-11-6581,S99953793,X5626852X,Mr.,Errol,Tillman,,,M,white,polish,M,Tewksbury  Massachusetts  US,783 Walsh Ranch Apt 10,Somerville,Massachusetts,02138
621ddd34-e934-4854-8280-fc9f111da5da,2015-01-14,,999-12-1401,,,,Kip,Mitchell,,,,white,french,M,Bellingham  Massachusetts  US,606 Strosin Park,Boston,Massachusetts,02108
d8cc6bc1-d533-42de-a5ac-06a72e26151c,1955-11-27,,999-67-6216,S99929227,X67481579X,Mr.,Norbert,Corkery,,,S,white,german,M,Pembroke  Massachusetts  US,520 White Bay,Barnstable Town,Massachusetts,02601
a92cf5ce-cab6-4fe6-aa71-27e7f2ba57bc,1997-12-25,,999-28-8651,S99915632,X72780201X,Mr.,Quincy,Lebsack,,,,white,french,M,Townsend  Massachusetts  US,452 Brakus Gardens,Chelsea,Massachusetts,02149
2d9b4cbf-661c-43e6-b17e-cdd13a25f075,1947-11-24,,999-65-8945,S99996643,X78731815X,Mrs.,Brook,Dooley,,Greenfelder,M,white,french_canadian,F,Springfield  Massachusetts  US,253 Gutkowski Approach Unit 40,Belmont,Massachusetts,02138
8d54e9c2-21b8-40d8-83ea-e9b9538934b4,1975-03-08,,999-17-4292,S99970247,X63514112X,Mr.,Pablo,Rivero,,,S,black,west_indian,M,Santiago de los Caballeros  Santiago  DO,555 Langworth Pathway,Ayer,Massachusetts,01432
884227ae-c4bc-4d31-b7c9-8d2266d87888,1961-02-24,,999-85-5098,S99999380,X24429970X,Mrs.,Randi,Heidenreich,,Mayert,M,white,scottish,F,Auburn  Massachusetts  US,484 Ullrich Burg Apt 58,New Bedford,Massachusetts,02740
e858b2ed-a899-4f13-8cdb-16395d7191c5,2014-11-02,,999-10-6095,,,,Jayson,Collier,,,,white,italian,M,Dennis  Massachusetts  US,1022 Stanton Light Apt 98,Boston,Massachusetts,02108
411f776c-3748-4100-bd46-2b547c12ad86,1990-12-22,,999-68-4829,S99926906,X51211096X,Mr.,Bryon,Daugherty,,,M,native,american_indian,M,Quincy  Massachusetts  US,496 Kertzmann Camp Apt 75,Winthrop Town,Massachusetts,02128
fd28c46c-6b2e-4811-a394-69479a075cba,2004-04-22,,999-26-9707,,,,Cinda,Herman,,,,hispanic,south_american,F,Santiago  Santiago Province  CL,512 Hickle Mall,Lawrence,Massachusetts,01840
0c0f04da-5330-4032-b459-4e533506f80a,2001-10-15,,999-39-3953,S99923163,,,Gaye,Mante,,,,white,irish,F,Grafton  Massachusetts  US,169 Ankunding Corner,New Bedford,Massachusetts,02740
23f79f52-43b0-4755-b499-78d364950a33,1967-02-09,,999-39-7642,S99991893,X82631821X,Ms.,Dan,Lebsack,,,S,white,portuguese,F,Porto  Douro Litoral  PT,411 Jenkins Vale,Orange,Massachusetts,01364
a70b5717-f464-42bc-96ff-1c2c74bff3b7,1971-06-30,,999-88-6437,S99967215,X13252026X,Mrs.,Sandie,Orn,,Schaefer,M,white,irish,F,Pembroke  Massachusetts  US,337 Abbott Tunnel,Chelmsford,Massachusetts,01824
bec8e324-0d91-4f60-b1e4-112f0d3fa17e,1948-11-18,,999-41-2337,S99933266,X32569297X,Mr.,Stuart,Fadel,,,M,asian,asian_indian,M,Springfield  Massachusetts  US,813 Ebert Union Apt 16,Boston,Massachusetts,02108
99dbc12b-61c9-4943-84b4-bb2c94efb1c2,1911-04-13,1930-04-14,999-64-2051,S99919876,,Mr.,Zachariah,Flatley,,,,white,greek,M,Lawrence  Massachusetts  US,1059 Haley Harbor Unit 91,Lawrence,Massachusetts,01840
7c5549e2-c17d-4ae7-be7f-5946bbbb9d19,2001-07-16,,999-87-2878,S99953392,,,Marc,Lebsack,,,,white,irish,M,Cambridge  Massachusetts  US,228 Hermiston Pathway Apt 47,Boston,Massachusetts,02108
1650aea7-bd15-4c66-b8ca-eb2b62bbfab4,1944-08-30,2007-03-18,999-37-1499,S99929955,X36000206X,Mrs.,Danette,Yost,,MacGyver,M,white,english,F,Chicopee  Massachusetts  US,1017 Braun Underpass,Southborough,Massachusetts,01772
34827bd2-b6f4-4e7c-89de-8b9c5575e55a,2004-07-17,,999-12-6010,,,,Ray,Hilpert,,,,white,american,M,Milford  Massachusetts  US,943 Murazik Flat,Boston,Massachusetts,02108
9e7c8c45-0acd-4e47-9401-a5256d909d64,2001-10-28,,999-52-9430,S99964504,,,Lelia,Mills,,,,white,irish,F,Longmeadow  Massachusetts  US,300 Swaniawski Drive,Franklin Town,Massachusetts,02038
00ce7047-f330-4b3d-9f8a-8b4834b85b7b,1961-06-16,,999-21-6249,S99960659,X70229999X,Mr.,Rolf,Grimes,,,M,asian,chinese,M,Chongqing  Chongqing Municipality  CN,1086 Ruecker Fork Unit 32,Natick,Massachusetts,01760
8b995503-15f9-429c-b52e-33e3b3730033,2007-04-30,,999-64-3303,,,,Broderick,Haley,,,,white,french,M,Woburn  Massachusetts  US,1009 Gottlieb Mall,Boston,Massachusetts,02108
516a4f5b-9bfa-4d99-9221-03e98b5d0469,1914-08-29,2013-08-30,999-73-1555,S99929233,X48062246X,Mrs.,Isabelle,Larkin,,Bergstrom,M,white,portuguese,F,Taunton  Massachusetts  US,993 Schmeler Lane Unit 70,Haverhill,Massachusetts,01830
4370fafc-b782-4d6c-b3d7-fd7b9597dd24,1935-01-25,2006-01-27,999-48-1362,S99946622,X65868698X,Mr.,Nolan,Towne,,,M,white,american,M,Lynn  Massachusetts  US,628 Cartwright Wynd Apt 4,Quincy,Massachusetts,02169
0566e989-44eb-49af-bc76-951315fc16be,1972-02-04,,999-82-9202,S99958356,X49439050X,Mr.,Cortez,Armstrong,,,S,white,irish,M,Northampton  Massachusetts  US,149 Quitzon Loaf,Medford,Massachusetts,02145
43950094-2a2b-4e2f-8709-31c08e8ae644,1962-01-03,,999-58-6465,S99923379,X72277461X,Mr.,Ignacio,Connelly,,,M,white,scottish,M,Everett  Massachusetts  US,1065 Koss Extension,Shirley,Massachusetts,01464
cd9834a1-8a7c-4278-8c96-afb00e77e752,1911-04-13,1977-06-20,999-87-2728,S99998994,X25282999X,Mr.,Milton,Kemmer,,,M,white,greek,M,Framingham  Massachusetts  US,824 Pollich Quay Suite 13,Lawrence,Massachusetts,01840
20976f3a-f43a-4fc5-bdc0-20dbbe005ae1,1966-03-06,,999-59-7247,S99911099,X31230383X,Mrs.,Sandie,Torp,,Lowe,M,white,irish,F,Wareham  Massachusetts  US,381 Thompson Village,Quincy,Massachusetts,02169
4bf77d5c-1889-469b-9d0d-2b945e1b3a78,1963-01-10,,999-47-9400,S99962131,X87232133X,Ms.,Marcene,Emmerich,,,S,white,polish,F,Wenham  Massachusetts  US,284 Tromp Street,Plymouth,Massachusetts,02360
